epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.6901993155479431,0.741489589214325,0.621504545211792,1e-04,0.5027515888214111,0.5235884189605713,0.8017857670783997
1,0.7951965928077698,0.8631051182746887,0.48622849583625793,1e-04,0.7354559898376465,0.7820145487785339,0.5427701473236084
2,0.8386628031730652,0.9066916704177856,0.3942458927631378,1e-04,0.8313679099082947,0.8604305982589722,0.4172692596912384
3,0.8566583395004272,0.9260111451148987,0.33838674426078796,1e-04,0.8419811129570007,0.8874385356903076,0.3846329152584076
4,0.8674557209014893,0.9336291551589966,0.310430645942688,1e-04,0.8604559898376465,0.8268219232559204,0.39565810561180115
5,0.8709163665771484,0.9363132119178772,0.29992929100990295,5e-05,0.8592767119407654,0.8659155368804932,0.3480772078037262
6,0.8775609135627747,0.940056324005127,0.28965920209884644,2.5e-05,0.8431603908538818,0.9375211596488953,0.4262937009334564
7,0.873892605304718,0.9398799538612366,0.2902365028858185,2.5e-05,0.8781446814537048,0.9144295454025269,0.30996188521385193
8,0.8765227198600769,0.9403257966041565,0.28709810972213745,1.25e-05,0.8396226167678833,0.9228057861328125,0.43411484360694885
9,0.876937985420227,0.940212607383728,0.2875104248523712,6.25e-06,0.8687106966972351,0.8972204923629761,0.3386416435241699
